Song,cluster,Title,Quadrant
MT0000481304,0,Jah Will Be Done,Q4
MT0000487439,1,Black Spider Blues,Q3
MT0000497520,0,Long Tall Texan,Q1
MT0000515256,1,I'm Making Believe,Q3
MT0000518591,1,This Time I Know It's for Real,Q1
MT0000523576,1,It's Beginning to Look a Lot Like Christmas,Q4
MT0000526302,0,Redemption Song,Q4
MT0000526867,1,The Big Hand,Q3
MT0000534539,1,Who Can I Turn To (When Nobody Needs Me),Q3
MT0000540286,1,Put 'Em Down Blues,Q1
MT0000546446,1,Just Good Friends,Q1
MT0000547065,1,"Hey, Where's Your Girl?",Q3
MT0000549945,1,Silent Night,Q4
MT0000550961,1,Four Strong Winds,Q4
MT0000553622,0,Flame of the Uninspired,Q3
MT0000556349,1,My Sweet Hunk O' Trash,Q1
MT0000567692,1,Sad Lisa,Q3
MT0000570966,1,Baby Face,Q3
MT0000599398,0,Chapter 24,Q4
MT0000603187,0,I Grieve,Q3
MT0000603561,1,The Moon Looks Down and Laughs,Q3
MT0000604234,0,Of Walking Abortion,Q2
MT0000615489,1,Freak Like Me,Q1
MT0000619767,1,It's All Over But the Crying,Q3
MT0000621840,0,Party,Q1
MT0000630628,0,Flags of Freedom,Q4
MT0000633351,1,Not as a Stranger,Q4
MT0000638424,1,Christmas Lullaby,Q4
MT0000638634,1,Heaven Help,Q4
MT0000643201,1,More Than This,Q3
MT0000647818,1,Pretty Paper,Q4
MT0000652082,1,What the World Needs Now is Love,Q4
MT0000661250,1,The Love You Save,Q3
MT0000661847,1,Let There Be Peace on Earth,Q4
MT0000664362,1,Hello Dolly,Q1
MT0000666429,1,Eat You Alive,Q2
MT0000670865,1,So Sweetly Around Me,Q4
MT0000672880,0,Amusement Parks U.S.A.,Q1
MT0000685324,1,Love Is Like a Cigarette,Q3
MT0000685538,1,Let the Jukebox Keep on Playing,Q3
MT0000685552,1,I Never Loved Her,Q3
MT0000688115,1,I Never Meant to Hurt You,Q3
MT0000688312,0,Skin Deep,Q3
MT0000694316,0,Cleansing,Q2
MT0000704913,1,Im Happy Just to Dance With You,Q1
MT0000707663,1,Girl From Ipanema,Q4
MT0000712071,1,Wear My Ring Around Your Neck,Q1
MT0000714708,1,Music,Q1
MT0000720686,0,A World Without Heroes,Q3
MT0000721873,1,Emotions,Q1
MT0000723464,1,The Invasion,Q4
MT0000724357,0,Worldwide Gangsta,Q2
MT0000727738,1,Little Amsterdam,Q3
MT0000734482,0,Desired Constellation,Q4
MT0000735056,0,Thrash Synergy,Q2
MT0000741489,0,Nocturnal Fear,Q2
MT0000744293,0,Out of Mind,Q2
MT0000747666,1,One More Chance,Q3
MT0000753074,1,"Swing Low, Sweet Chariot",Q4
MT0000754511,0,I'm Not Worried at All,Q4
MT0000762097,1,God Rest Ye Merry Gentleman,Q4
MT0000763275,0,Ideal Home,Q3
MT0000764951,1,Where Is the Sun?,Q3
MT0000766316,1,Woman Love,Q1
MT0000775053,1,Chords of Fame,Q4
MT0000776108,1,How Many Times,Q3
MT0000778102,0,For the Thugs,Q2
MT0000780401,1,Does It Show,Q3
MT0000783307,0,<c6>nema,Q2
MT0000789330,0,Megalodon,Q2
MT0000807741,1,Swing That Music,Q1
MT0000808227,0,The Sudden Realization...,Q2
MT0000811092,1,East of the Sun (And West of the Moon),Q4
MT0000811743,1,My Last Chance With You,Q3
MT0000825920,1,Christmas Song (Chestnuts Roasting on an Open Fire),Q4
MT0000829531,0,Steady Mobbin',Q2
MT0000829765,1,When a Love Song Sings the Blues,Q3
MT0000832464,1,Heartbreak Hotel,Q3
MT0000848769,1,Can't Help Lovin' Dat Man,Q4
MT0000850050,1,"Baby, Now That I've Found You",Q3
MT0000850957,0,6 O'Clock News,Q2
MT0000851865,0,I'm an Old Cowhand (From the Rio Grande),Q1
MT0000852582,0,Apotemnophiliac,Q2
MT0000853072,1,More Than Rain,Q3
MT0000854722,1,Mr. Man,Q1
MT0000863232,0,Adam and Eve,Q4
MT0000863543,1,"Love Me, Love Me Now",Q1
MT0000871290,1,The Mystery,Q1
MT0000874482,0,Redneck,Q2
MT0000875199,0,Sad Professor,Q3
MT0000875520,1,Dancing Days,Q1
MT0000886390,1,Randy,Q1
MT0000888329,1,Dreamland,Q4
MT0000889229,0,Everybodys Crying Mercy,Q3
MT0000892306,0,Above the Pyramid and the Eye,Q2
MT0000895003,0,For What It's Worth,Q2
MT0000895905,0,Rocky Mountain Suite,Q4
MT0000900387,0,Let's Ride,Q2
MT0000900995,1,You Go to My Head,Q4
MT0000901959,0,Pops Rap III...All My Children,Q4
MT0000903225,1,Hello Old Friend,Q4
MT0000906888,1,The Way I Am,Q4
MT0000910270,0,New Leaf,Q2
MT0000920227,0,We Shall Be Free,Q4
MT0000927561,1,Take Up Thy Stethoscope and Walk,Q2
MT0000931402,1,Lonely Street,Q3
MT0000934613,0,Knives Bats New Tats,Q2
MT0000948111,1,Hot Dog,Q1
MT0000950090,1,The Saddest Song I've Got,Q3
MT0000954088,0,"South America, Take It Away!",Q1
MT0000956340,0,Break Yourself,Q2
MT0000984023,0,Disciples of Hell,Q2
MT0000992846,1,Shoe Box,Q1
MT0001016068,1,"Oh, Red!!",Q3
MT0001020011,1,What Child Is This?,Q4
MT0001030436,1,When in Love With a Blind Man,Q3
MT0001032211,1,Frenz,Q4
MT0001042055,1,All I Want for Christmas Is a Real Good Tan,Q4
MT0001043721,0,Wu-Tang Clan Ain't Nuthing Ta F' Wit,Q2
MT0001053268,1,Gentle on My Mind,Q1
MT0001058887,1,My Girl,Q4
MT0001062700,1,I Go to Pieces,Q3
MT0001095298,1,Laura (What's He Got That I Ain't Got),Q3
MT0001101467,0,Get Back,Q2
MT0001102610,1,You'll Think of Me,Q3
MT0001104467,1,Blue Moon With Heartache,Q3
MT0001106114,1,I Love Jazz,Q4
MT0001109401,0,Moog Island,Q4
MT0001115644,1,Gone Out of My Mind,Q3
MT0001116511,0,Target,Q2
MT0001117815,1,Lucky Man,Q1
MT0001121577,1,Who Am I,Q4
MT0001134958,1,I'm So Lonesome,Q3
MT0001137053,0,Lullaby,Q3
MT0001144930,1,Believe in Life,Q4
MT0001152165,1,Love Calls,Q4
MT0001152664,1,How to Disappear Completely,Q3
MT0001153847,1,A Little Less Conversation,Q1
MT0001157069,0,The Fall of Troy,Q3
MT0001168323,1,All I Want for Christmas Is You,Q4
MT0001169715,1,Red Blue Jeans and a Pony Tail,Q1
MT0001183783,1,Having Myself a Time,Q4
MT0001189913,1,"(I Got Spurs That) Jingle, Jangle, Jingle",Q1
MT0001193202,0,Elysian Fields,Q2
MT0001193331,0,High Rolling Man,Q1
MT0001193971,1,No Vacation from the Blues,Q3
MT0001194164,0,What Good Am I?,Q3
MT0001195535,1,I've Loved You All Over the World,Q4
MT0001202986,1,One-Sided Love Affair,Q1
MT0001217651,0,Choppa Style,Q1
MT0001227219,1,How Long Blues,Q4
MT0001230193,0,Trap,Q2
MT0001230298,1,The One You Slip Around With,Q3
MT0001243097,1,Angels Among Us,Q4
MT0001256033,1,One Four Seven One,Q3
MT0001265984,0,American Triangle,Q3
MT0001266436,1,Restraining Order Blues,Q3
MT0001267997,1,When I Grow Too Old to Dream,Q4
MT0001276044,0,When the Thousand,Q2
MT0001277283,1,Brother,Q3
MT0001284282,1,Like a Virgin [Extended Dance Remix],Q1
MT0001284801,1,Jim,Q3
MT0001287647,0,Ice Water,Q2
MT0001292451,1,Dig You Later,Q1
MT0001297031,1,Station Approach,Q3
MT0001298241,0,Modern Dance,Q3
MT0001301827,1,Love Letters,Q4
MT0001305550,1,Until,Q3
MT0001309422,1,I'm With a Crowd But So Alone,Q3
MT0001313815,1,Waiting in Vain,Q4
MT0001318718,0,Ready or Not,Q1
MT0001321861,0,I Luv It,Q2
MT0001323755,1,His Hands,Q4
MT0001331047,1,How Am I to Know?,Q3
MT0001332899,1,Will I See You in Heaven,Q3
MT0001335920,1,Long Time Gone,Q1
MT0001347462,1,Try to Remember,Q4
MT0001353828,0,Me Against the World,Q2
MT0001356476,1,Pink Cadillac,Q1
MT0001356637,1,Superstar,Q3
MT0001361436,0,The Killing Road,Q2
MT0001362313,1,Ever Lovin' Fingers,Q3
MT0001368531,0,Cheapest Kind,Q4
MT0001369981,1,"Lover Man (Oh, Where Can You Be)",Q3
MT0001370627,1,False True Love,Q4
MT0001372070,0,When Two Worlds Collide,Q3
MT0001376988,0,Lights Over Baghdad,Q2
MT0001377616,1,Sleep Alone,Q4
MT0001377742,0,Fear the Grand Inquisitor,Q2
MT0001380360,0,Solitary Winter Night,Q2
MT0001383277,0,Ski Mask Way,Q2
MT0001385947,1,"Look Heart, No Hands",Q3
MT0001395462,1,American Tune,Q3
MT0001397431,0,Settle for Nothing,Q2
MT0001404677,1,Stormy Monday Blues,Q3
MT0001435061,1,It's My Own Fault,Q3
MT0001436086,1,I'll Never Smile Again,Q4
MT0001453285,1,I Won't Cry Anymore,Q3
MT0001473110,0,Gettin' High,Q2
MT0001473158,0,Ride,Q2
MT0001477169,1,It Won't Be Long (Till I'll Be Leaving),Q4
MT0001486960,1,Heavy Makes You Happy (Sha-Na-Boom-Boom),Q1
MT0001494812,1,Can You Stand the Rain,Q4
MT0001497786,1,Rain Rain,Q3
MT0001509368,1,Love Man,Q1
MT0001509615,0,Night Games,Q3
MT0001510617,0,Have a Beer with Fear,Q2
MT0001511433,1,O Little Town of Bethlehem,Q4
MT0001514284,1,Crimson Moon,Q1
MT0001515028,1,She Believes in Me,Q4
MT0001518335,1,A Lover Is Forever,Q3
MT0001521543,1,Shake Your Moneymaker,Q1
MT0001523435,1,I Gotta Right to Sing the Blues,Q3
MT0001526514,1,As,Q1
MT0001528638,1,Jingle Bells,Q4
MT0001531856,1,Something You Got,Q1
MT0001531906,0,The Last Mile of the Way,Q4
MT0001542457,1,Show Down in Flames,Q2
MT0001547111,1,It's Over,Q3
MT0001553573,0,Silence = Death,Q2
MT0001554870,0,Runnin' from the Law,Q2
MT0001566152,1,Blue Hotel,Q3
MT0001578777,0,Bullet Train,Q2
MT0001583214,1,Fmlyhm,Q2
MT0001590201,1,Gonna Get Close to You,Q2
MT0001590644,0,We Will Not,Q2
MT0001594582,1,I'll Be Your Baby Tonight,Q4
MT0001595082,0,Tonight in Flames,Q2
MT0001608499,1,Count to Six and Die (The Vacuum of Infinite Space Encompassing),Q3
MT0001609615,1,You Can't Fall in Love When You're Cryin',Q4
MT0001610102,1,Da Ya Think I'm Sexy?,Q1
MT0001613887,0,Of Devilish Tongues,Q2
MT0001615005,1,Worlds Apart,Q2
MT0001624303,1,Thanks for the Memory,Q4
MT0001634305,1,JC,Q3
MT0001638394,1,"His Eyes, Her Eyes",Q4
MT0001639011,1,Beautiful Life,Q1
MT0001641165,0,Mama Said Knock You Out,Q2
MT0001642019,0,Death,Q2
MT0001644811,1,Glow,Q4
MT0001646256,1,Laughter & Forgetting,Q3
MT0001648703,0,It Won't Fade,Q2
MT0001653728,1,(There'll Be) Peace in the Valley,Q4
MT0001658982,1,So It Goes,Q3
MT0001661022,1,The Christmas Song,Q4
MT0001671399,1,Caribbean Amphibian,Q1
MT0001673884,1,Since I Fell for You,Q3
MT0001699798,0,Sailing to Philadelphia,Q4
MT0001710592,0,Lovesick for Mina,Q2
MT0001729778,1,The One,Q4
MT0001738256,0,Price You Pay,Q2
MT0001741017,1,Find out What's Happening,Q1
MT0001757676,0,Barstool Cowboy from Old Barstow,Q1
MT0001765726,1,Somewhere,Q4
MT0001766004,0,Discharged Reason,Q2
MT0001770136,0,"Bleed Like a Craze, Dad",Q1
MT0001779167,0,Gets Me Through,Q2
MT0001795697,1,Drag City,Q1
MT0001801454,0,You Scared,Q2
MT0001810607,1,Long Winter,Q3
MT0001829666,1,I Wanna Hold You,Q1
MT0001831738,1,I Finally Found Somebody,Q1
MT0001832838,1,This Is to Mother You,Q4
MT0001835551,0,Crack Hitler,Q2
MT0001839466,1,The Girl I Never Loved,Q3
MT0001841416,1,Shotgun (Blues),Q3
MT0001852290,0,Same Shit - Different Asshole,Q2
MT0001862892,1,Put Yourself in My Place,Q3
MT0001889075,0,The Grand Finale,Q2
MT0001889244,1,Mama's Pearl,Q1
MT0001891260,1,Looks Like I'm up Shit Creek Again,Q3
MT0001899447,1,That Hurts,Q3
MT0001899867,1,Free,Q1
MT0001920501,1,Everybody's Laughing,Q3
MT0001927015,1,"Papa's Got a Brand New Bag, Pt. 1",Q1
MT0001927474,1,A Whole New World,Q4
MT0001927921,0,Being Ignorant Is Awesome,Q2
MT0001929641,1,Roll 'Em Pete,Q3
MT0001934410,0,You Play on a Softball Team,Q2
MT0001934726,1,You Got Me Crying,Q3
MT0001938929,0,"Stupid, Stupid War",Q2
MT0001942272,1,Simple Things,Q4
MT0001943830,0,The Way Worn Traveler,Q4
MT0001949173,1,Mermaid,Q4
MT0001954919,1,What We Believe In,Q4
MT0001962373,0,Authority,Q2
MT0001963447,0,Tenebrarum Oratorim (Andamento I),Q2
MT0001967655,1,Mississippi You're on My Mind,Q4
MT0001972380,0,I Can See Now,Q3
MT0001972829,1,The Bed I Made,Q3
MT0001974130,0,Wormwood,Q2
MT0001978806,0,You Are an Orphan,Q2
MT0001980613,1,Wheels,Q4
MT0001988811,1,Leaving Greensleeves,Q3
MT0001992879,0,Blood of Heroes,Q2
MT0001993588,0,Showdown,Q2
MT0002006203,1,Ill Wind,Q3
MT0002006862,0,Bojangles of Harlem,Q1
MT0002007417,1,Falling in Love Again,Q3
MT0002014752,1,Nightingale,Q4
MT0002024101,0,Kill My Friends,Q2
MT0002024741,1,One Heartbeat,Q4
MT0002034238,1,Fell in Love With a Boy,Q1
MT0002052101,1,Real Gone Lover,Q1
MT0002054074,1,Like I Love You,Q4
MT0002057142,1,Don't Go to Sleep Without Me,Q3
MT0002060109,1,I Dream of Spring,Q3
MT0002068648,0,TV Movie,Q1
MT0002078701,0,Screaming and Yelling,Q1
MT0002087541,0,Not Forgotten,Q3
MT0002088249,1,Flesh and Blood,Q1
MT0002099419,0,The Travel Jam,Q2
MT0002113056,0,Ac-Cent-Tchu-Ate the Positive,Q1
MT0002131125,1,Dedication,Q2
MT0002132088,1,Fourth of July,Q4
MT0002139311,1,No More Looking for Love,Q1
MT0002142155,1,The Man That Got Away,Q3
MT0002169629,0,Soul in Flames,Q2
MT0002177145,1,Getting Closer,Q1
MT0002179342,0,Stomp,Q1
MT0002193996,1,It's All Right,Q4
MT0002216668,1,Endless Love,Q4
MT0002219182,1,Just Because,Q1
MT0002222944,0,Synplicity,Q2
MT0002225477,0,Survival of the Fittest,Q2
MT0002238737,1,Nothings Happening by The,Q4
MT0002239079,0,Ruff Ryders' Anthem,Q2
MT0002250135,1,Great Lake Swimmers,Q3
MT0002252353,0,From the Dark Side,Q2
MT0002272314,0,War,Q2
MT0002277261,1,Dinner Bells,Q3
MT0002291660,0,We're the Oppressed,Q2
MT0002294387,1,Deeper and Deeper [Album Edit],Q1
MT0002298774,0,Hybrid Stigmata-The Apostasy,Q2
MT0002307435,1,She Fades Away,Q3
MT0002316145,0,Colors,Q2
MT0002325544,1,It's All Over,Q3
MT0002336535,1,Avril au Portugal,Q3
MT0002337555,0,Middle Class Revolt,Q2
MT0002342346,1,Don't Hold Back,Q2
MT0002343207,1,Kiss,Q1
MT0002347246,1,Baby Baby Baby Baby Ooh Baby,Q1
MT0002351905,0,Ain't Going Down (Til the Sun Comes Up),Q1
MT0002355423,0,Unsung Psalm,Q4
MT0002359628,1,Dog & Butterfly,Q4
MT0002360219,1,Keepin' the Summer Alive,Q1
MT0002362108,1,Caldonia (What Makes Your Big Head So Hard?),Q1
MT0002366291,1,Deeper and Deeper [Shep's Fierce Deeper Dub],Q1
MT0002371970,0,"""En Gallop""",Q4
MT0002372242,0,A Nigga Witta Gun,Q2
MT0002379942,0,Soul Devourer,Q2
MT0002390941,0,Disease of Conceit,Q3
MT0002396250,1,Sometimes,Q2
MT0002397625,1,"Promises, Promises",Q4
MT0002399275,1,Broke,Q2
MT0002438908,0,Were You There?,Q4
MT0002460914,0,Knockin' Niggaz Off,Q2
MT0002472723,1,"That Was Then, This Is Now",Q1
MT0002477987,1,Columbus Stockade,Q3
MT0002479795,0,Fury in My Eyes/Revenge,Q2
MT0002485672,0,Transit,Q3
MT0002510318,0,Green Grass of Tunnel,Q3
MT0002515172,1,O Little Town of Bethlehem,Q4
MT0002532237,0,Big Bad Bill,Q1
MT0002538335,0,Red Red,Q1
MT0002541988,1,How Deep Is the Ocean?,Q4
MT0002549047,1,Going Down Slow,Q3
MT0002549944,0,The Kill in Me,Q2
MT0002580064,1,Early in the Morning,Q3
MT0002585767,1,I Forgot More Than You'll Ever Know,Q3
MT0002591418,1,By Heart,Q4
MT0002595792,0,The Sheik of Araby,Q1
MT0002602057,0,American Buttfuckers,Q2
MT0002604697,1,Like Moon Behind A Cloud,Q3
MT0002619035,1,What a Wonderful World,Q4
MT0002621498,0,Architecture of a Genocidal Nature,Q2
MT0002634024,0,Is It Because I'm Black?,Q3
MT0002638821,1,Love Alive,Q4
MT0002645049,0,Shoplifting Clothes,Q1
MT0002655864,0,Vietnow,Q2
MT0002659854,1,Reason for the Season,Q4
MT0002672499,1,Twist and Shout,Q1
MT0002675791,1,Welcome to My World,Q4
MT0002698706,0,Chico and the Man,Q1
MT0002698827,0,The Lily of the Valley,Q4
MT0002700026,1,Spanish Eyes,Q1
MT0002701422,0,Beyond Good & Evil,Q2
MT0002709704,1,Bye Bye Bye,Q1
MT0002711792,0,Skinfather,Q2
MT0002714093,1,She Can't Save Him,Q3
MT0002716927,1,California Stars,Q4
MT0002737189,1,Time for Livin',Q2
MT0002739845,1,Everything Falls Apart,Q2
MT0002760912,1,Television,Q3
MT0002761408,1,Beauty from the Past,Q2
MT0002762445,1,Take a Friend,Q1
MT0002771537,1,I Only Wanted,Q3
MT0002784741,0,I Drink,Q3
MT0002803746,0,Tomorrow Mountain,Q4
MT0002810052,0,Victory,Q2
MT0002840704,1,She's Coming Home With Me,Q1
MT0002842988,0,Train of Consequences,Q2
MT0002844771,1,Some Say I'm Running,Q3
MT0002846256,1,Miracle,Q4
MT0002858390,0,Santa Claus Is Coming to Town,Q4
MT0002859848,1,Your Love,Q4
MT0002875103,1,I Like You Ok,Q2
MT0002889321,0,Tyranic Oppression,Q2
MT0002894033,0,Beer Run,Q1
MT0002903697,1,Blue Heaven Rendezvous,Q4
MT0002905185,1,Long Time,Q3
MT0002907679,1,Don't Say Goodbye,Q1
MT0002909109,1,Mustang Sally,Q1
MT0002915967,1,Billie's Blues,Q3
MT0002920876,0,Tonight I Just Need My Guitar,Q4
MT0002928993,1,Quicksand,Q3
MT0002939380,0,Without a Face,Q2
MT0002949712,0,Inflikted,Q2
MT0002951872,1,Wonder Woman,Q1
MT0002954708,0,Eyes Shut Tight,Q2
MT0002960288,0,He's Alive,Q4
MT0002962258,0,Body Movin',Q1
MT0002969144,1,All Through the Night,Q4
MT0002980543,0,Old Main Drag,Q4
MT0002986568,1,When Things Go Wrong,Q3
MT0002999366,1,Good Morning Little Schoolgirl,Q1
MT0003008724,0,The Fire Burns Inside,Q2
MT0003012633,1,Misty,Q4
MT0003019852,0,My Life,Q2
MT0003023886,0,Separation of My Soul,Q2
MT0003025046,1,Beautiful Boy,Q4
MT0003025373,1,Always There,Q1
MT0003025883,1,Life Is a Song,Q4
MT0003028265,1,Save a Bread,Q4
MT0003037754,0,Keep Hope Alive,Q3
MT0003041246,0,Straight Out of Line,Q2
MT0003044417,1,Just Because,Q1
MT0003081304,0,Time Travelin' (A Tribute to Fela),Q4
MT0003085195,0,Ain't Got No Class,Q2
MT0003085925,1,Hello Sunshine,Q1
MT0003094118,0,Suicide,Q2
MT0003102331,1,The Fever,Q4
MT0003106472,0,Lost in Tha System,Q2
MT0003109823,1,I'm With a Crowd But So Alone,Q3
MT0003117846,0,Anti-Social,Q2
MT0003124476,0,Tim Is Gay,Q2
MT0003131369,1,So Emotional,Q1
MT0003131435,1,I Can't Wait No Longer (Let's Do This),Q1
MT0003144898,0,Everybody Wants the Same Thing,Q1
MT0003146944,1,Just a Closer Walk With Thee,Q4
MT0003148189,0,Only Jah Alone,Q4
MT0003163405,1,Aria,Q4
MT0003175531,1,Rosalyn,Q1
MT0003189890,1,Bad Luck Blues,Q3
MT0003209662,0,White Synthetic Noise,Q2
MT0003213617,1,Got to Make a Comeback,Q4
MT0003213835,1,Not Fair,Q1
MT0003216840,1,Starry Eyed Surprise,Q1
MT0003224500,0,Fallen,Q2
MT0003228768,1,Love Me or Leave Me,Q4
MT0003237550,0,Black Forest II,Q2
MT0003246728,1,Luxury,Q1
MT0003248394,1,Someday at Christmas,Q1
MT0003262589,0,Nothing,Q2
MT0003263304,1,Is It News,Q3
MT0003264792,1,N Dey Say,Q4
MT0003272904,1,That Ain't No Way to Go,Q3
MT0003274067,1,Driving,Q3
MT0003280103,0,I Know,Q4
MT0003286463,1,They Don't Want Music,Q1
MT0003287170,0,The Lord's Prayer,Q4
MT0003287931,1,You Make Me Believe,Q4
MT0003294608,0,To Our Martyrs,Q2
MT0003300388,1,Stormy Weather [Index0:breakdown/index1:complete Alternative Take,Q3
MT0003304271,1,Looking Back,Q4
MT0003309945,0,Crypts of Eternity,Q2
MT0003315880,1,What's Your Problem,Q2
MT0003320924,1,It Serves Me Right to Suffer,Q3
MT0003326925,0,Big Mouth,Q2
MT0003328491,1,Need a Little Help,Q3
MT0003329820,1,Swept Away,Q1
MT0003336370,1,Just Won't Do Right,Q3
MT0003336800,0,Shot Down,Q2
MT0003337396,0,Fight Back,Q2
MT0003343422,1,It Never Entered My Mind,Q3
MT0003345751,0,Sorrowfilled,Q2
MT0003352308,0,Dead and Gone,Q3
MT0003353602,0,State of Mind,Q2
MT0003353794,1,How Can I Help You Say Goodbye,Q3
MT0003354468,1,A Holly Jolly Christmas,Q4
MT0003362542,0,What Should I Do,Q3
MT0003362617,1,Which One of Them,Q3
MT0003389088,1,That'd Be Alright,Q4
MT0003390733,1,I Didn't Mean to Turn You On,Q1
MT0003402178,1,In the Bleak Midwinter,Q4
MT0003402538,1,I Wish I Liked You (As Much as I Love You),Q3
MT0003402994,1,Dirrty,Q1
MT0003420996,1,Ballad of the Sad Young Men,Q3
