Song,Quadrant,Title,Genres
L035-134,Q4,Those Sweet Words,"Contemporary Jazz,Vocal Jazz,Jazz"
L036-118,Q1,Twist and Shout,"Contemporary Pop/Rock,Rock & Roll,Merseybeat,Early Pop/Rock,British Invasion,Pop/Rock"
L037-169,Q2,Two Miniutes to Midnight,
L038-102,Q1,Uptown Girl,Pop/Rock
L040-132,Q2,War,"Pop/Rock,Heartland Rock"
L041-172,Q2,War Pigs,"Hard Rock,Heavy Metal,Album Rock,British Metal,Pop/Rock"
L042-108,Q1,We are the Champions,"Album Rock,Pop/Rock"
L043-130,Q1,What a Feeling,"Electronic,Euro-Dance,Club/Dance"
L044-107,Q1,When you came into my life,"Heavy Metal,Pop/Rock,Pop-Metal"
L045-145,Q1,Winter Wonderland,"Traditional Pop,Vocal Pop,Vocal,Vocal Jazz,Jazz,Christmas,Holidays,Holiday"
L046-147,Q3,Wish you were here,"Art Rock,Prog-Rock,Album Rock,Pop/Rock"
L047-71,Q3,Yesterday,"Singer/Songwriter,Psychedelic/Garage,Folk-Rock,British Invasion,Contemporary Pop/Rock,Early Pop/Rock,Pop/Rock"
L048-163,Q3,You Don't Bring me Flowers,"Pop/Rock, Vocal"
L049-164,Q2,You Should Be Dead,
L050-149,Q1,"You're the First, the Last, My Everything",R&B
L051,Q4,What a Worderful World,"Jazz,Vocal Jazz,Traditional Pop,Early Pop/Rock,Pop/Rock,Vocal,Vocal Pop"
L052,Q4,Country Confort,Pop/Rock
L053,Q3,Lately,"Soul,Pop-Soul,Smooth Soul,R&B"
L054,Q3,I'm so lonesome I could cry,"Outlaw Country,Country"
L055,Q1,U Got the Look,"Dance-Rock,R&B,Contemporary Pop/Rock,Contemporary R&B"
L058,Q2,Why do you want him,"Pop Punk,Pop/Rock,Alternative/Indie Rock"
L059,Q1,Our Love,"R&B,Disco"
L060,Q2,Animal,"Pop/Rock,Hard Rock,Alternative/Indie Rock,Alternative Pop/Rock,Grunge"
L061,Q1,PS I Love You,"Contemporary Pop/Rock,Pop/Rock,Early Pop/Rock,British Invasion,Merseybeat"
L063,Q2,London Calling,"Pop/Rock,New Wave,British Punk,Punk/New Wave,Punk,Hard Rock"
L064,Q1,Feels_Just_Like_It_Should,"Electronic, Pop/Rock, R&B"
L065,Q2,Gimme Shelter,
L066,Q3,Blue eyes crying in the rain,"Country,Traditional Country"
L067,Q4,Just the Way You are,"Soft Rock,Contemporary Pop/Rock,Pop/Rock"
L068,Q3,Solitude,"Vocal Jazz,Jazz"
L069,Q1,California Girls,"Sunshine Pop,Baroque Pop,Early Pop/Rock,Contemporary Pop/Rock,Pop/Rock"
L070,Q2,Sunday Bloody Sunday,
L071,Q4,That's what friends are for,"Soft Rock,Early Pop/Rock,Pop/Rock"
L072,Q1,Miss Jamaica,
L073,Q2,Last Resort,"Alternative Metal,Pop/Rock,Heavy Metal"
L074,Q1,Paradise,"R&B,Urban"
L075,Q2,Bring Your Whole Crew,"East Coast Rap,Rap,Hardcore Rap"
L076,Q2,She hates me,"Post-Grunge,Pop/Rock"
L078,Q2,I Fucking Hate You,"Industrial Metal,Heavy Metal,Alternative Metal"
L079,Q3,Tears in Heaven,"Album Rock,Adult Contemporary,Pop/Rock,Soft Rock,Contemporary Pop/Rock"
L080,Q4,White Christmas,"Rock & Roll,Pop/Rock"
L082,Q4,May it Be,"New Age,Celtic New Age,Adult Alternative,International,Celtic,Contemporary Celtic"
L083,Q4,Orinoco Flow,"International,Adult Alternative,Pop/Rock,Alternative/Indie Rock,Contemporary Celtic,Celtic New Age,New Age,Contemporary Instrumental,Celtic,Adult Alternative Pop/Rock"
L084,Q3,Natural Disaster,"Heavy Metal,Goth Metal,Doom Metal,Pop/Rock"
L085,Q3,Disappear,"Neo-Prog,Prog-Rock,Heavy Metal,Hard Rock,Progressive Metal,Pop/Rock"
L087,Q4,And The Singer sings his song,"Pop/Rock,Singer/Songwriter,Contemporary Pop/Rock"
L088,Q3,The Eternal,"Post-Punk,Alternative/Indie Rock,Pop/Rock"
L089,Q1,Dancing Queen,"Disco,R&B,Swedish Pop/Rock,Euro-Pop,Contemporary Pop/Rock,Pop/Rock"
L090,Q1,Yellow Submarine,
L091,Q4,Imagine,"Singer/Songwriter,Contemporary Pop/Rock,Album Rock,Pop/Rock"
L092,Q1,Do you wanna dance,"Rock & Roll,Pop/Rock,Early Pop/Rock,Contemporary Pop/Rock"
L093,Q1,Beautiful Day,"Contemporary R&B,R&B"
L095,Q3,Hurt,"Traditional Country,Country"
L096,Q3,Lonely Boy,"Brill Building Pop,Teen Idols,Early Pop/Rock,Pop/Rock"
L097,Q1,La Isla Bonita,
L098,Q3,Everybody Hurts,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Pop/Rock,Alternative Pop/Rock,College Rock"
L099,Q2,Highway to Hell,"Arena Rock,Album Rock,Hard Rock,Heavy Metal,Pop/Rock,Aussie Rock"
L100,Q1,"Whenever, wherever","Latin Pop,Latin"
L101,Q2,Can't Stand You,"Pop/Rock,Speed/Thrash Metal,Heavy Metal"
L102,Q2,Hell's Bells,"Heavy Metal,Pop/Rock"
L103,Q4,Strawberry Swing,"Alternative Pop/Rock,Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
L104,Q3,Angie,"Contemporary Pop/Rock,Album Rock,Hard Rock,Pop/Rock"
L105,Q2,Born in the USA,"Album Rock,Contemporary Pop/Rock,Rock & Roll,Hard Rock,Heartland Rock,Pop/Rock"
L107,Q1,Annie's Song,"Singer/Songwriter,Soft Rock,Folk,Folk-Pop,Pop/Rock"
L108,Q4,Over the Rainbow,
L109,Q3,One Last Goodbye,"Heavy Metal,Doom Metal,Goth Metal,Pop/Rock"
L110,Q3,Wise up,"Alternative/Indie Rock,Contemporary Pop/Rock,Adult Alternative Pop/Rock,Pop/Rock"
L111-66,Q3,Mad World,"Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
L112-170,Q2,Aces High,"Heavy Metal,New Wave of British Heavy Metal,British Metal,Pop/Rock"
L113-90,Q4,Albedo 039,"New Age,Neo-Classical,Progressive Electronic,Electronic"
L114-116,Q1,All Night Long,"R&B,Adult Contemporary,Urban,Contemporary Pop/Rock,Pop/Rock"
L115-161,Q3,Already Dead,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Lo-Fi,Indie Rock,Pop/Rock"
L116-140,Q4,The Journey of the Angels,"Holiday,Holidays,Christmas,Celtic New Age,Ethnic Fusion,Pop/Rock,Celtic,International,Adult Alternative,Alternative/Indie Rock,New Age,Contemporary Celtic,Adult Alternative Pop/Rock"
L117-104,Q4,The Lady Of Shalott,"Contemporary Celtic,Celtic,International,Celtic New Age"
L118-167,Q2,Ashes,"Electronic, Pop/Rock"
L121-70,Q3,Brick,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Pop/Rock,Alternative Pop/Rock"
L122-148,Q4,Bridge Over Trobled Water,"Mood Music,Instrumental Pop,Lounge,Easy Listening"
L123-143,Q3,Broken Strings,"Contemporary Singer/Songwriter,Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
L124-91,Q2,Bullet with your name,"Heavy Metal,Alternative Metal,Pop/Rock"
L125-128,Q2,Burning Heart,"Contemporary Pop/Rock,Album Rock,Pop/Rock"
L126-83,Q4,Calypso,"Pop/Rock,Folk-Rock,Folk-Pop,Psychedelic/Garage,Singer/Songwriter,Soft Rock,Folk"
L127-122,Q1,Celebration,"R&B,Club/Dance,Contemporary Pop/Rock,Disco,Dance-Pop,Urban,Funk,Pop/Rock"
L128-173,Q4,China Roses,"New Age,International,Alternative/Indie Rock,Pop/Rock,Celtic,Adult Alternative,Adult Alternative Pop/Rock,Contemporary Celtic"
L130-92,Q2,"Congratulations, I hate you","Post-Hardcore,Alternative/Indie Rock,Screamo,Pop/Rock"
L131-67,Q3,Creep,"Alternative Pop/Rock,Alternative/Indie Rock,Britpop,Pop/Rock"
L132-93,Q2,Cryin' Like a Bitch,
L133-158,Q3,Crying,"Soft Rock,Pop/Rock"
L134-75,Q3,Dance with my Father,"Adult Contemporary,Contemporary R&B,R&B,Pop/Rock"
L135-69,Q3,Dying in the Sun,"Alternative/Indie Rock,Pop/Rock,Celtic Rock,Contemporary Pop/Rock,Alternative Pop/Rock,Adult Alternative Pop/Rock"
L136-123,Q1,Everybody Dance Now,"House,Dance-Pop,Pop/Rock,Club/Dance,Electronic,R&B,Urban"
L137-165,Q2,Father Time,"Gangsta Rap,Hardcore Rap"
L138-136,Q4,Fly me to the Moon,"Traditional Pop,Standards,Vocal,Vocal Jazz,Jazz"
L140-94,Q2,Fuck the World,Rap
L141-95,Q2,Fuck you,
L142-96,Q1,Fun Fun Fun,"Rock & Roll,Contemporary Pop/Rock,Pop/Rock"
L144-110,Q1,Good Times,"Pop/Rock,Dance-Pop,Funk,R&B,Club/Dance,Disco"
L145-113,Q1,Happy,R&B
L146-68,Q3,Hello,Pop/Rock
L147-152,Q3,Home,"Traditional Pop,Adult Contemporary,Pop/Rock,Vocal Pop,Vocal"
L148-154,Q4,How could Anyone,"Healing,Meditation/Relaxation,New Age"
L149-106,Q3,Hurt,"Dance-Pop,Urban,Pop/Rock,Contemporary Pop/Rock,Neo-Soul,Soul,R&B"
L150-124,Q1,I Feel Good,"R&B,Funk"
L151-111,Q1,I Feel Love,"Club/Dance,Disco,R&B"
L152-114,Q1,I Wanna Dance with Somebody,"Dance-Pop,Adult Contemporary,Urban,R&B,Pop/Rock"
L153-99,Q2,Idiot,"Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
L154-119,Q1,It's Raining Men,"Contemporary Pop/Rock,Teen Pop,Pop/Rock"
L155-117,Q1,Kiss,"Electronic, R&B"
L156-100,Q3,Knife,"Contemporary R&B,R&B"
L157-115,Q1,Let's Dance,"Pop/Rock,Album Rock,Blue-Eyed Soul,Soul,R&B,Punk/New Wave,New Wave,Contemporary Pop/Rock"
L159-138,Q4,Love is where you are,
L160-155,Q1,Lovely Linda,Pop/Rock
L161,Q4,Wonderful Christmas Time,"Pop/Rock,Contemporary Pop/Rock,Adult Contemporary,Christmas,Holiday,Soft Rock"
L162,Q1,Wonderful,
L163,Q3,With or Without you,
L164,Q4,We are the World,
L165,Q4,Water Song,
L166,Q1,Wake me up before you go go,
L167,Q1,Twistin' the Night Away,"Uptown Soul,Pop-Soul,R&B,Soul"
L168,Q4,The Voice of Enigma,"Electronic,Ethnic Fusion,Club/Dance,New Age"
L169,Q4,The Friendship Song,
L170,Q3,Suicidal dream,"Alternative/Indie Rock,Post-Grunge,Alternative Pop/Rock,Grunge,Pop/Rock"
L171,Q3,Say Something,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter"
L172,Q2,Rockstar,"Post-Grunge,Alternative Metal,Pop/Rock,Heavy Metal"
L174,Q2,Renegade,Rap
L175,Q3,Red red wine,"Brill Building Pop,Pop/Rock,Contemporary Pop/Rock"
L176,Q2,Prision Song,"Heavy Metal,Alternative Metal,Pop/Rock"
L177,Q2,Platypus,"Pop/Rock,Post-Grunge,Alternative/Indie Rock,Punk Revival,Alternative Pop/Rock,Pop Punk"
L178,Q4,Peace Train,"Singer/Songwriter,Soft Rock,Album Rock,Contemporary Pop/Rock,Pop/Rock"
L179,Q4,One People One Land,
L180,Q4,Nature Song,
L181,Q3,Midnight Bottle,Pop/Rock
L182,Q2,Lose Yourself,"Hardcore Rap,Rap"
L183,Q2,Killing in the Name,"Rap-Metal,Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Pop/Rock"
L184,Q3,It's in the Rain,"International,Alternative/Indie Rock,Pop/Rock,Celtic,Ethnic Fusion,Contemporary Celtic,New Age,Adult Alternative Pop/Rock"
L185,Q3,I never told you,Pop/Rock
L186,Q4,I am the Earth,
L187,Q1,He's The Greatest Dancer,"Disco,R&B"
L188,Q3,Gloomy Sunday,
L189,Q4,Gift of a friend,"Dance-Pop,Teen Pop,Pop/Rock"
L190,Q4,Friends are Quiet Angels,
L191,Q3,For the Love of a Daughter,"Dance-Pop,Teen Pop,Pop/Rock"
L192,Q4,Family is a Family,Pop/Rock
L193,Q2,Eye of the Tiger,"Contemporary Pop/Rock,Pop/Rock,Album Rock,Arena Rock"
L194,Q2,Dead Bodies Everywhere,"Heavy Metal,Alternative Metal,Pop/Rock"
L195,Q3,Dancing with another man,"Pop,Pop/Rock"
L196,Q1,Dancing In The Street,"Pop/Rock,Girl Groups,Motown,Soul,R&B,Pop-Soul"
L197,Q4,Christmas Tree,"Urban,R&B,Dance-Pop,Pop,Pop/Rock"
L198,Q4,But Beautiful,"Classic Female Blues,Traditional Pop,Blues,Vocal Jazz,Vocal"
L199,Q3,Amnesia,"Teen Pop,Pop/Rock,Pop"
L200,Q3,Adam's Song,"Pop Punk,Alternative Pop/Rock,Post-Grunge,Alternative/Indie Rock,Punk Revival,Pop/Rock"
MT0000008995,Q3,You're Too Lovely to Last,"Blues, Jazz, Vocal"
MT0000011357,Q2,Reborn in Blasphemy,"Electronic, International, Pop/Rock"
MT0000017389,Q3,Goin' to Dallas,Blues
MT0000022649,Q3,Adios Amigo,Country
MT0000024499,Q3,Concrete Jungle,Reggae
MT0000026571,Q4,Till the End of Time,Vocal
MT0000027422,Q3,Uncertain Weather,Pop/Rock
MT0000030834,Q4,Crazy He Calls Me,Jazz
MT0000031210,Q3,Without Your Love,"Blues, Jazz, Vocal"
MT0000034999,Q3,I Don't Believe I'll Fall in Love Today,Country
MT0000038502,Q2,Fetesque,Pop/Rock
MT0000040773,Q1,Beer Barrel Polka,"Easy Listening, Vocal"
MT0000042939,Q2,The Foetus of a New Day Kicking,"Electronic, Pop/Rock"
MT0000043184,Q3,God Won't Get You,Country
MT0000044741,Q3,Last Night,Blues
MT0000045345,Q1,I Love You,R&B
MT0000045773,Q3,They Are All in Love,"Album Rock,Contemporary Pop/Rock,Singer/Songwriter,Hard Rock,Pop/Rock"
MT0000048600,Q4,"Green, Green Grass of Home",
MT0000052463,Q2,Getcha Groove On,Pop/Rock
MT0000054766,Q3,Breathe,R&B
MT0000059269,Q3,Mexicali Rose,Country
MT0000063684,Q4,You Ain't Goin' Nowhere,Pop/Rock
MT0000066236,Q2,My Rules,Pop/Rock
MT0000066421,Q4,Talk to Me,"Country, Latin, Pop/Rock"
MT0000067251,Q3,Terraplane Blues,
MT0000080053,Q1,Honky Tonk Merry-Go Round,Country
MT0000082188,Q3,Ive Been Wrong Before,Pop/Rock
MT0000086428,Q3,I've Love These Days,Pop/Rock
MT0000089238,Q2,Salutations,Rap
MT0000089410,Q4,The Shadow of Your Smile,"Easy Listening, Jazz, Pop/Rock"
MT0000091401,Q1,Pink Pedal Pushers,"Pop/Rock,Rock & Roll,Instrumental Rock"
MT0000091781,Q3,Love in the Afternoon,"Classical, Pop/Rock"
MT0000092637,Q3,Cryin' Mood,Jazz
MT0000093583,Q1,Come 2 Me,"Electronic, R&B"
MT0000095414,Q3,Onde Estas,Pop/Rock
MT0000097948,Q4,"Baby, Baby All the Time","Jazz, Vocal"
MT0000103049,Q4,Just a Closer Walk With Thee,"Country, Religious"
MT0000103874,Q1,Love Song,"Country-Pop,Country"
MT0000105492,Q1,Oh Yes,"Electronic, Pop/Rock, R&B"
MT0000106285,Q4,Nobody Does It Better,Pop/Rock
MT0000111068,Q3,My Father's Eyes,Pop/Rock
MT0000117176,Q4,Stardust,"Jazz, Vocal"
MT0000119701,Q4,Too Marvelous for Words,"Jazz, Vocal"
MT0000119987,Q1,Glamorous,"R&B, Rap"
MT0000124779,Q3,This Mess We're In,Pop/Rock
MT0000128573,Q1,Here Comes Santa Claus,"Holiday, Stage & Screen"
MT0000133200,Q2,Rats!Rats!Rats!,Pop/Rock
MT0000135916,Q4,Silver Bells,"Holiday, Vocal"
MT0000139242,Q1,California Saga/Big Sur,
MT0000143859,Q4,All of Me,Vocal
MT0000144160,Q4,It's So Close to Christmas (And I'm So Far from Home),"Country, Holiday, Pop/Rock"
MT0000144424,Q2,Regal Zone,"Electronic, Pop/Rock"
MT0000145509,Q2,Running Out of Time,Pop/Rock
MT0000146284,Q4,Willingly,Country
MT0000146966,Q1,Shake Your Moneymaker,"Country, Pop/Rock"
MT0000147182,Q4,Pearl of the Quarter,Pop/Rock
MT0000147647,Q2,Celebration of the Lizard,Pop/Rock
MT0000151451,Q4,Love You 'Till the End,"International, Pop/Rock"
MT0000151529,Q3,Pancho and Lefty,Country
MT0000153361,Q3,"When the World Is Running Down, You Make the Best of What's Still Around","Electronic, Pop/Rock"
MT0000162219,Q3,Where Grass Won't Grow,Country
MT0000164441,Q4,Angel Band,Country
MT0000169174,Q2,9th Circle,"Electronic, International, Pop/Rock"
MT0000169836,Q2,Return of da Don,Rap
MT0000171421,Q3,This Love,
MT0000171852,Q3,You'll Never Know,"Jazz, Vocal"
MT0000174580,Q1,I Belong to You,"Electronic, Pop/Rock, R&B"
MT0000175597,Q3,Joan of Arc,"Folk,Pop/Rock,Singer/Songwriter"
MT0000177878,Q4,It Had to Be You,"Jazz, Vocal"
MT0000185453,Q3,Once I Loved,Jazz
MT0000185601,Q1,Hey Ya!,"Contemporary R&B,R&B,Rap,Alternative Rap"
MT0000186467,Q2,Back to the Primitive,"Electronic, Pop/Rock"
MT0000190640,Q2,My Wrathful Eyes,"Electronic, International, Pop/Rock"
MT0000191766,Q1,I Double Dare You,Jazz
MT0000192913,Q3,If I Had,Rap
MT0000192982,Q3,Long Black Veil,"Rock & Roll,Rockabilly,Pop/Rock"
MT0000195705,Q4,A Time for Us,"Pop/Rock, Vocal"
MT0000197431,Q1,Plenty Good Lovin',Pop/Rock
MT0000202045,Q4,Exodus,Reggae
MT0000214287,Q3,High on a Hilltop,Country
MT0000216849,Q2,Get Outta My Life,"Country, Pop/Rock"
MT0000218346,Q4,Moment Made for Worshipping,"New Age, Pop/Rock, Religious"
MT0000225806,Q1,I Need Your Love Tonight,Pop/Rock
MT0000231442,Q2,Sing Sing Death House,"Electronic, International, Pop/Rock"
MT0000231784,Q2,Words Are Weapons,Rap
MT0000239675,Q4,Spoonful,Blues
MT0000245808,Q1,"What'd I Say, Pt. 1","Blues, Jazz, R&B"
MT0000252574,Q1,What Am I Gonna Do (I'm So in Love With You),Pop/Rock
MT0000255724,Q3,Signal Fire,"Pop/Rock, Stage & Screen"
MT0000258223,Q4,Take My Hand Precious Lord,Religious
MT0000258646,Q2,I Sold Your Dog to a Chinese Restaurant,Pop/Rock
MT0000259235,Q3,Deportee,Pop/Rock
MT0000265621,Q4,Universal Traveller,"Electronic, Pop/Rock"
MT0000267636,Q3,Everyone's Laughing,R&B
MT0000268576,Q3,River of Tears,Pop/Rock
MT0000268701,Q4,Of This Land,Pop/Rock
MT0000270200,Q2,Sunglasses at Night 2003,"Electronic, Pop/Rock"
MT0000271454,Q1,"What'd I Say, Pts. 1 & 2","Jazz, Pop/Rock, R&B"
MT0000271970,Q2,Slaughterhouse Ways,"Electronic, International, Pop/Rock"
MT0000273374,Q4,Happy-End,Electronic
MT0000277032,Q4,Day-O (Banana Boat Song),International
MT0000277633,Q3,The Promise,Pop/Rock
MT0000283043,Q2,"Are You Okay, Kiddo?","Electronic, Pop/Rock"
MT0000287606,Q4,I Am the True Vine,Blues
MT0000287921,Q2,Stand as One and Fight for Glory,"International, Pop/Rock"
MT0000289116,Q3,I Can't Help It (If I'm Still in Love with You),Country
MT0000292000,Q4,Love Me,R&B
MT0000293345,Q3,I Will Remember,Pop/Rock
MT0000299291,Q3,Heartland,"Electronic, Pop/Rock"
MT0000310204,Q1,Joy,R&B
MT0000312152,Q3,Guess Things Happen That Way,"Country, Pop/Rock"
MT0000315363,Q1,Nadine,Pop/Rock
MT0000315392,Q3,When You Smiled At Me,"Jazz, Vocal"
MT0000316110,Q2,Don't Blow Your Top,"Electronic, Pop/Rock"
MT0000318206,Q2,Unbroken,Pop/Rock
MT0000318279,Q4,Stella by Starlight,"Jazz, Vocal"
MT0000320757,Q3,So Lonely,"Country, Pop/Rock"
MT0000321394,Q2,Does This System Work,Pop/Rock
MT0000321824,Q4,Each Time (I Love You More),"Electronic, Pop/Rock"
MT0000325093,Q1,Waiting for Tonight,"Electronic, Latin, Pop/Rock, R&B"
MT0000326433,Q3,Look of Love,"Girl Groups,Pop/Rock,Brill Building Pop"
MT0000335310,Q4,A Holly Jolly Christmas,"Folk, Holiday"
MT0000345937,Q4,Romeo & Juliet,
MT0000348553,Q4,Scotch & Soda,Folk
MT0000353361,Q3,Southern California,Country
MT0000360851,Q3,Crying Blind,"Blues, R&B"
MT0000361419,Q4,Now Is Here,"Easy Listening, New Age, Stage & Screen"
MT0000369188,Q1,Land of Make Believe,Pop/Rock
MT0000370694,Q4,Shortnin' Bread,Blues
MT0000371043,Q3,I'd Do It All Again,"Country,Traditional Country"
MT0000380307,Q4,Canadian Sunset,Vocal
MT0000380971,Q3,When You Ain't Got Nobody,Pop/Rock
MT0000391566,Q4,Empty Landscape,Electronic
MT0000398595,Q4,Touch the Hem of His Garment,R&B
MT0000407837,Q4,The Christmas Song (Chestnuts Roasting on an Open Fire),"Country, Holiday"
MT0000408441,Q3,Give Me Back That Wig (Wig Wearing Woman),Blues
MT0000409922,Q4,Crush,Pop/Rock
MT0000412380,Q3,Drunk by Myself,
MT0000419956,Q2,Victims,Pop/Rock
MT0000421504,Q4,More,"Pop/Rock, Vocal"
MT0000425270,Q2,How to Survive in South Central,Rap
MT0000426880,Q1,Not Gonna Get Us,Electronic
MT0000431226,Q3,Breakfast in Bed,
MT0000436815,Q4,Love Song for a Savior,Religious
MT0000437534,Q3,Think It Over,"Blues, R&B"
MT0000441552,Q2,Station 5: The Pearl,Pop/Rock
MT0000446304,Q3,Why Spring Ain't Here,"Jazz, Vocal"
MT0000447281,Q3,Depression Blues,Blues
MT0000447539,Q4,O Come All Ye Faithful,
MT0000456939,Q2,Come to Rest,"Electronic, International, Pop/Rock, Religious"
MT0000460480,Q4,Isle of Capri,"Jazz, Vocal"
MT0000463371,Q2,Necrophiliac,Pop/Rock
MT0000475876,Q1,Get Right,"Electronic, Latin, Pop/Rock, R&B"
MT0000481304,Q4,Jah Will Be Done,Reggae
MT0000487439,Q3,Black Spider Blues,Blues
MT0000489470,Q4,I Cried for You,"Folk, Jazz, Pop/Rock"
MT0000495842,Q4,Mark's Song,Folk
MT0000497520,Q1,Long Tall Texan,Pop/Rock
MT0000502143,Q2,Future Shock,"R&B, Stage & Screen"
MT0000515256,Q3,I'm Making Believe,Vocal
MT0000518591,Q1,This Time I Know It's for Real,"Electronic, R&B"
MT0000523576,Q4,It's Beginning to Look a Lot Like Christmas,"Holiday, Vocal"
MT0000526302,Q4,Redemption Song,Reggae
MT0000526867,Q3,The Big Hand,Pop/Rock
MT0000534539,Q3,Who Can I Turn To (When Nobody Needs Me),"Pop/Rock, Stage & Screen, Vocal"
MT0000540286,Q1,Put 'Em Down Blues,Jazz
MT0000546446,Q1,Just Good Friends,"Electronic, Pop/Rock"
MT0000547065,Q3,"Hey, Where's Your Girl?",Pop/Rock
MT0000549945,Q4,Silent Night,"Holiday, Vocal"
MT0000550961,Q4,Four Strong Winds,"Country, Easy Listening, Folk, International, Pop/Rock"
MT0000552259,Q3,Without Love (There Is Nothing),"Contemporary Pop/Rock,Pop/Rock,AM Pop,Vocal"
MT0000553622,Q3,Flame of the Uninspired,"Country, Pop/Rock"
MT0000556349,Q1,My Sweet Hunk O' Trash,Jazz
MT0000564376,Q3,I Never Dreamed,Pop/Rock
MT0000567692,Q3,Sad Lisa,Pop/Rock
MT0000570966,Q3,Baby Face,Pop/Rock
MT0000580738,Q3,I'm So Happy I Can't Stop,
MT0000592222,Q3,When the Rain Comes,Pop/Rock
MT0000599398,Q4,Chapter 24,"Pop/Rock,Prog-Rock,Psychedelic/Garage,Art Rock,British Psychedelia"
MT0000603187,Q3,I Grieve,"Contemporary Pop/Rock,Pop/Rock"
MT0000603561,Q3,The Moon Looks Down and Laughs,"Blues, Jazz, Vocal"
MT0000604234,Q2,Of Walking Abortion,Pop/Rock
MT0000606812,Q3,Promise Ain't Enough,Pop/Rock
MT0000615489,Q1,Freak Like Me,"Electronic, International"
MT0000619767,Q3,It's All Over But the Crying,Pop/Rock
MT0000621840,Q1,Party,Pop/Rock
MT0000630628,Q4,Flags of Freedom,"Folk, Pop/Rock"
MT0000633351,Q4,Not as a Stranger,Vocal
MT0000638424,Q4,Christmas Lullaby,Pop/Rock
MT0000638634,Q4,Heaven Help,Pop/Rock
MT0000643201,Q3,More Than This,Pop/Rock
MT0000647818,Q4,Pretty Paper,"Country, Holiday"
MT0000652082,Q4,What the World Needs Now is Love,"Brill Building Pop,Pop/Rock,Easy Listening,Waltz,Early Pop/Rock"
MT0000661250,Q3,The Love You Save,"Blues, Pop/Rock"
MT0000661847,Q4,Let There Be Peace on Earth,"Country, Holiday"
MT0000664362,Q1,Hello Dolly,"Jazz, Vocal"
MT0000666429,Q2,Eat You Alive,"International, Pop/Rock"
MT0000667625,Q1,I Need a Lover,"Pop/Rock, R&B"
MT0000670865,Q4,So Sweetly Around Me,Pop/Rock
MT0000672880,Q1,Amusement Parks U.S.A.,"Electronic, Pop/Rock"
MT0000685324,Q3,Love Is Like a Cigarette,"Jazz, Pop/Rock"
